City,Country,Lat,Lng,Date,Cloudiness,Humidity,Max Temp,Wind Speed
zanjan,IR,36.673599,48.478699,1569207600,0,92,44.44,2.68
maningrida,AU,-12.06667,134.266663,1569207600,100,43,90.27,14.34
north battleford,CA,52.78344,-108.284653,1569207600,0,59,61.43,8.75
alor setar,MY,6.12104,100.360138,1569207600,100,81,83.03,6.11
chokwe,MZ,-24.533331,32.98333,1569207600,50,79,75.0,12.59
libreville,GA,0.3925,9.45365,1569207600,100,87,78.57,12.82
cherskiy,RU,68.75,161.300003,1569207600,92,66,35.62,5.08
meiganga,CM,6.51667,14.3,1569207600,100,95,64.49,2.37
karlskrona,SE,56.16156,15.58661,1569207600,20,81,50.2,9.71
kawalu,ID,-7.3817,108.208199,1569207600,40,56,89.83,8.72
claresholm,CA,50.033321,-113.585243,1569207600,69,62,54.3,14.23
brigantine,US,39.410118,-74.364594,1569207600,2,81,71.2,7.29
mehran,IR,33.1222,46.1646,1569207600,0,17,82.67,14.38
tchaourou,BJ,8.88649,2.5975200000000003,1569207600,100,96,72.77,5.55
polazna,RU,58.29457900000001,56.40546,1569207600,81,88,32.85,2.3
coquimbo,CL,-29.953329,-71.343613,1569207600,31,91,53.4,9.22
calvinia,ZA,-31.47069,19.776011,1569207600,0,60,43.25,8.3
dembi dolo,ET,8.53333,34.799999,1569207600,41,80,68.59,3.53
ambilobe,MG,-13.2,49.049999,1569207600,28,73,70.43,10.76
adrar,DZ,27.87429,-0.29388000000000003,1569207600,0,13,90.23,5.32
longyearbyen,SJ,78.218597,15.64007,1569207600,100,85,29.89,3.62
tevaitoa,PF,-16.783331,-151.5,1569207600,0,81,79.61,17.83
vao,NC,-22.66667,167.483337,1569207600,71,68,69.57,15.82
rawatsar,IN,29.283331,74.38333100000001,1569207600,0,52,91.53,8.32
kipini,KE,-2.52565,40.526199,1569207600,40,81,76.01,11.07
hagere hiywet,ET,8.98333,37.849998,1569207600,100,95,55.31,1.48
samoded,RU,63.608299,40.511101,1569207600,100,97,37.31,11.21
korla,CN,41.75972,86.14694200000002,1569207600,0,27,77.7,3.36
lahad datu,MY,5.0268,118.327003,1569207600,7,51,97.0,4.25
beidao,CN,34.568611,105.893333,1569207600,96,53,67.66,3.47
taluya,PH,5.81167,125.172783,1569207600,21,66,89.58,5.03
terskaya,RU,43.723759,44.724419,1569207600,0,64,49.91,7.92
kavaratti,IN,10.56688,72.64202900000002,1569207600,100,75,82.6,4.9
touros,BR,-5.1988900000000005,-35.460831,1569207600,0,79,78.17,22.93
skjervoy,NO,70.031143,20.971411,1569207600,99,65,41.63,8.66
necochea,AR,-38.54726,-58.736752,1569207600,0,51,46.13,10.36
saskylakh,RU,71.91667199999998,114.083328,1569207600,98,92,36.48,11.05
namibe,AO,-15.19611,12.15222,1569207600,31,84,66.43,5.26
hailar,CN,49.200001,119.699997,1569207600,38,44,62.91,16.13
waipawa,NZ,-41.41222,175.515274,1569207600,88,65,58.55,22.97
bernau,DE,47.800179,8.0383,1569207600,100,97,54.16,4.83
gudari,IN,19.35,83.783333,1569207600,48,81,86.05,2.08
grindavik,IS,63.8424,-22.43375,1569207600,100,91,51.13,22.37
chukhloma,RU,58.752499,42.682499,1569207600,100,92,34.43,6.6
havoysund,NO,70.996338,24.66217,1569207600,100,76,39.47,16.67
novoomskiy,RU,54.84151800000001,73.301743,1569207600,35,62,46.35,16.17
minab,IR,27.1467,57.080101,1569207600,0,65,85.51,1.79
dhilwan,IN,31.516939,75.349998,1569207600,0,56,83.1,6.55
sarana,RU,56.47728000000001,57.725861,1569207600,100,96,34.79,8.05
maragogi,BR,-9.01222,-35.2225,1569207600,40,95,71.76,1.7
liberal,US,37.043079,-100.920998,1569207600,0,38,69.35,8.5
sao miguel do araguaia,BR,-13.275,-50.162781,1569207600,77,30,85.55,1.28
kruisfontein,ZA,-34.00333,24.731421,1569207600,66,88,50.88,10.54
nyurba,RU,63.28416800000001,118.33194,1569207600,0,60,46.13,9.64
havre-saint-pierre,CA,50.23344,-63.598621,1569207600,100,94,61.79,11.45
petropavlovsk-kamchatskiy,RU,53.0452,158.6483,1569207600,0,65,57.43,5.95
pangnirtung,CA,66.145111,-65.712517,1569207600,0,70,23.45,3.76
katsuura,JP,35.133331,140.300003,1569207600,12,80,86.67,22.24
turukhansk,RU,65.816673,87.98333000000002,1569207600,100,76,46.45,27.36
iquitos,PE,-3.74806,-73.24722299999998,1569207600,52,86,74.93,1.3
goderich,CA,43.75008,-81.716476,1569207600,100,92,68.85,21.52
pasighat,IN,28.066669,95.333328,1569207600,100,98,67.84,1.95
karratha,AU,-20.73765,116.846291,1569207600,0,9,96.03,19.17
zhenlai,CN,45.849548,123.297302,1569207600,0,28,88.97,6.38
laela,TZ,-8.56667,32.049999,1569207600,0,65,60.89,1.79
suntar,RU,62.14444,117.631943,1569207600,0,60,46.38,10.42
eganville,CA,45.533409000000006,-77.09944899999998,1569207600,100,62,78.21,15.39
puri,IN,19.799999,85.849998,1569207600,46,76,89.33,10.31
richards bay,ZA,-28.78301,32.037682000000004,1569207600,100,80,65.21,28.59
stokmarknes,NO,68.564621,14.91075,1569207600,100,72,44.69,18.43
metro,ID,-5.11306,105.306671,1569207600,79,60,91.85,7.52
konza,KE,-1.7426,37.12941,1569207600,0,85,57.47,2.37
kristianstad,SE,56.031288,14.15242,1569207600,100,81,52.61,15.93
dong hoi,VN,17.48333,106.599998,1569207600,13,64,90.23,12.64
formosa do rio preto,BR,-11.04833,-45.193062,1569207600,77,34,70.79,3.74
doha,QA,25.286667,51.533333,1569207600,3,66,86.81,1.23
meulaboh,ID,4.1363,96.128502,1569207600,1,77,81.48,6.24
vardo,NO,70.370483,31.110661,1569207600,100,81,40.91,26.19
uyuni,BO,-20.459669,-66.825027,1569207600,48,34,53.33,3.62
rishikesh,IN,30.116671000000004,78.316673,1569207600,0,72,77.99,3.02
nanakuli,US,21.39056,-158.154724,1569207600,42,82,86.23,5.48
viedma,AR,-40.81345,-62.996681,1569207600,69,32,60.31,16.84
gamboula,CF,4.11775,15.13926,1569207600,18,98,67.37,1.19
ulaangom,MN,49.98111,92.066673,1569207600,0,31,78.42,4.34
kimbe,PG,-5.55021,150.142853,1569207600,98,83,81.73,1.41
lokoja,NG,7.80236,6.7429999999999986,1569207600,65,94,72.77,5.3
kysyl-syr,RU,63.89860899999999,122.761673,1569207600,35,75,42.53,10.69
bassano,CA,50.783421,-112.468536,1569207600,67,46,61.25,10.11
tazovskiy,RU,67.466667,78.699997,1569207600,100,96,39.43,34.2
at-bashi,KG,41.17017,75.810577,1569207600,0,25,68.13,5.3
maltahohe,,-24.83333,16.98333,1569207600,0,28,43.79,18.66
port blair,IN,11.66667,92.75,1569207600,99,80,81.41,12.24
hasaki,JP,35.73333,140.833328,1569207600,27,52,94.46,22.57
bamnet narong,TH,15.49917,101.68972,1569207600,85,80,75.04,14.16
vestmanna,FO,62.156391000000006,-7.16639,1569207600,0,91,52.61,14.94
ust-nera,RU,64.566673,143.199997,1569207600,100,66,35.22,2.82
dukat,RU,62.549999,155.550003,1569207600,100,70,39.72,3.85
vanimo,PG,-2.67408,141.302841,1569207600,88,69,80.69,7.9
maiduguri,NG,11.84644,13.16027,1569207600,6,52,80.15,5.46
sur,OM,22.566669,59.528889,1569207600,54,40,90.41,5.28
ulladulla,AU,-35.349998,150.466675,1569207600,59,39,61.57,11.32
egvekinot,RU,66.316673,-179.166672,1569207600,43,44,32.45,1.12
asyut,EG,27.18096,31.18368,1569207600,0,80,68.41,14.92
ust-tsilma,RU,65.44104,52.14978,1569207600,82,91,31.59,6.17
pangody,RU,65.850021,74.48593100000002,1569207600,100,96,47.28,18.43
chegdomyn,RU,51.116669,133.016663,1569207600,8,60,69.85,9.93
mucurapo,TT,10.66667,-61.533329,1569207600,100,90,77.45,20.2
la orilla,MX,17.98333,-102.23333,1569207600,86,86,79.43,3.85
nemuro,JP,43.323608,145.574997,1569207600,100,90,59.27,17.34
lorengau,PG,-2.02259,147.271194,1569207600,44,65,87.53,2.24
evensk,RU,61.950001,159.233337,1569207600,40,59,47.35,4.47
gorele,TR,41.03083,39.003059,1569207600,0,71,57.51,4.59
zwedru,LR,6.0666699999999985,-8.128060000000001,1569207600,100,99,70.43,1.88
sao filipe,CV,14.8961,-24.49556,1569207600,100,80,79.97,20.67
bilibino,RU,68.054642,166.43721000000005,1569207600,100,77,29.82,6.8
alyangula,AU,-13.84833,136.419174,1569207600,100,71,86.63,11.97
oltu,TR,40.549831,42.00125900000001,1569207600,0,81,34.97,1.32
sao gabriel da cachoeira,BR,-0.13028,-67.08917199999999,1569207600,49,89,74.93,1.16
ampanihy,MG,-24.700001,44.75,1569207600,0,58,69.17,7.56
udachnyy,RU,66.41667199999999,112.400002,1569207600,0,76,37.92,14.85
kongolo,CD,-5.38333,27.0,1569207600,0,78,72.23,0.74
bratsk,RU,56.1325,101.614166,1569207600,95,60,61.29,7.11
payakumbuh,ID,-0.22019,100.630783,1569207600,79,57,88.61,4.25
zyryanovsk,KZ,49.738609,84.27194200000002,1569207600,100,40,71.33,5.06
puerto narino,CO,-3.77028,-70.383057,1569207600,16,78,75.65,0.78
husavik,IS,66.044891,-17.33885,1569207600,100,84,55.63,10.69
verkhnyaya khava,RU,51.84045,39.941341,1569207600,0,87,34.97,8.32
acarau,BR,-2.88556,-40.119999,1569207600,0,90,71.33,4.97
soeng sang,TH,14.426420000000002,102.460579,1569207600,100,97,76.21,4.09
fort nelson,CA,58.805328,-122.700203,1569207600,55,60,49.01,4.88
kloulklubed,PW,7.041919999999998,134.25561499999998,1569207600,2,76,83.14,11.03
kilindoni,TZ,-7.9139,39.66684,1569207600,87,76,77.99,10.76
lodwar,KE,3.11911,35.597271,1569207600,84,47,79.43,6.8
grande prairie,CA,55.166672,-118.80271100000002,1569207600,100,70,50.99,10.89
haines junction,CA,60.752159,-137.510818,1569207600,39,76,36.59,4.88
wuwei,CN,37.92805900000001,102.641388,1569207600,0,34,74.16,5.75
ugoofaaru,MV,5.66667,73.0,1569207600,100,79,83.46,18.63
merke,KZ,42.87278,73.178612,1569207600,73,55,58.19,5.79
bonthe,SL,7.526389999999999,-12.505,1569207600,100,85,78.35,8.99
la ronge,CA,55.10012800000001,-105.284218,1569207600,0,71,57.65,5.82
camabatela,AO,-8.18812,15.37495,1569207600,100,87,69.71,2.17
aswan,EG,24.09343,32.90704,1569207600,0,35,77.99,9.89
anshun,CN,26.25,105.933327,1569207600,100,49,66.0,5.28
bordighera,IT,43.78064000000001,7.664510000000001,1569207600,100,99,60.48,1.5
kafue,ZM,-15.76911,28.18136,1569207600,13,30,64.85,4.94
tarime,TZ,-1.35,34.366669,1569207600,40,84,65.28,4.32
matagami,CA,49.750179,-77.632767,1569207600,100,95,59.27,8.9
chandpur,IN,29.15,78.26666999999998,1569207600,64,80,78.39,4.23
deputatskiy,RU,69.300003,139.899994,1569207600,100,61,39.25,1.83
riyadh,SA,24.687731,46.721851,1569207600,0,33,71.98,3.96
saldanha,ZA,-33.011669,17.944201,1569207600,0,70,59.09,20.56
berdigestyakh,RU,62.098888,126.699173,1569207600,67,77,43.54,10.11
okhotsk,RU,59.38333100000001,143.300003,1569207600,100,46,55.17,7.67
udgir,IN,18.383329,77.11666899999999,1569207600,69,79,83.32,5.5
ous,RU,60.90583,61.51860799999999,1569207600,0,75,34.61,8.77
zhangye,CN,38.93417,100.451668,1569207600,0,26,70.47,4.29
astana,KZ,51.180099,71.445976,1569207600,6,66,47.93,16.22
waingapu,ID,-9.6567,120.264099,1569207600,1,45,92.03,11.77
eirunepe,BR,-6.66028,-69.873611,1569207600,100,92,73.85,1.28
srednekolymsk,RU,67.449997,153.683334,1569207600,39,49,38.25,10.2
canasgordas,CO,6.74989,-76.025391,1569207600,100,98,69.89,2.17
boueni,YT,-12.9025,45.076111,1569207600,0,74,77.27,3.22
nizwa,OM,22.933331,57.533329,1569207600,2,35,84.25,2.35
khonsa,IN,27.01667,95.566673,1569207600,100,98,67.41,2.91
mabaruma,GY,8.2,-59.783329,1569207600,100,98,72.77,0.78
basoko,CD,1.23909,23.61598,1569207600,37,85,71.51,1.5
te anau,NZ,-45.416672,167.716675,1569207600,25,70,46.31,12.08
pangkalanbuun,ID,-2.68333,111.616669,1569207600,31,44,105.35,6.26
benemerito de las americas,MX,16.51667,-90.64389,1569207600,86,92,72.77,4.03
lafia,NG,8.48333,8.51667,1569207600,89,98,75.11,2.91
yumen,CN,40.283329,97.199997,1569207600,0,19,79.65,16.13
yakeshi,CN,49.283329,120.73333,1569207600,0,44,62.73,14.97
preobrazheniye,RU,42.901939,133.90638700000002,1569207600,88,31,75.94,3.09
aquin,HT,18.283331,-73.400002,1569207600,68,83,78.89,4.45
kangaatsiaq,GL,68.30648000000001,-53.46405,1569207600,100,83,41.09,3.91
zadar,HR,44.11972,15.24222,1569207600,100,91,69.35,18.19
nova varos,RS,43.46056,19.81139,1569207600,99,50,56.32,3.98
zhigansk,RU,66.769722,123.371109,1569207600,90,65,44.26,13.18
shumskiy,RU,54.831799,99.132797,1569207600,0,71,67.37,8.03
marrakesh,MA,31.631479,-8.008280000000001,1569207600,99,76,70.61,7.85
druzhnaya gorka,RU,59.276112,30.1425,1569207600,25,85,34.72,6.31
mehamn,NO,71.035698,27.849171,1569207600,100,81,36.95,18.59
nisia floresta,BR,-6.09111,-35.208611,1569207600,44,97,73.38,7.45
ossora,RU,59.23527900000001,163.071945,1569207600,100,84,44.47,1.72
wajima,JP,37.400002,136.899994,1569207600,89,76,80.58,69.37
puerto colombia,CO,10.98778,-74.95472,1569207600,100,77,82.31,8.25
sumenep,ID,-7.01667,113.866669,1569207600,64,36,100.85,14.36
